id,title,tmdb_id,overview,release_date,duration,rating,vote_count,language,poster_url
76,Elio,1022787,"Elio, a space fanatic with an active imagination, finds himself on a cosmic misadventure where he must form new bonds with eccentric alien lifeforms, navigate a crisis of intergalactic proportions and somehow discover who he is truly meant to be.",2025-06-18,98,7.0,717,en,1022787_7z8jDiTZZco9moIKpTUImFtTy7o.jpg
77,The Shawshank Redemption,278,"Imprisoned in the 1940s for the double murder of his wife and her lover, upstanding banker Andy Dufresne begins a new life at the Shawshank prison, where he puts his accounting skills to work for an amoral warden. During his long stretch in prison, Dufresne comes to be admired by the other inmates -- including an older prisoner named Red -- for his integrity and unquenchable sense of hope.",1994-09-23,142,8.714,29383,en,278_9cqNxx0GxF0bflZmeSMuL5tnGzr.jpg
78,Sin cobertura,1370124,,2025-08-22,94,5.0,6,es,1370124_k7QB1I0VJgD8ibYv7slV2YtMCrO.jpg
79,The Shining,694,"Jack Torrance accepts a caretaker job at the Overlook Hotel, where he, along with his wife Wendy and their son Danny, must live isolated from the rest of the world for the winter. But they aren't prepared for the madness that lurks within.",1980-05-23,144,8.206,18414,en,694_uAR0AWqhQL1hQa69UDEbb2rE5Wx.jpg
80,Sisu,840326,"When an ex-soldier who discovers gold in the Lapland wilderness tries to take the loot into the city, German soldiers led by a brutal SS officer battle him.",2022-09-09,91,7.407,2569,fi,
81,Regretting You,1327862,"Morgan Grant and her daughter Clara explore what's left behind after a devastating accident reveals a shocking betrayal and forces them to confront family secrets, redefine love, and rediscover each other.",2025-10-22,116,7.0,192,en,1327862_z4gVnxTaks3anTycwKjDmvQSuWt.jpg
82,The Godfather,238,"Spanning the years 1945 to 1955, a chronicle of the fictional Italian-American Corleone crime family. When organized crime family patriarch, Vito Corleone barely survives an attempt on his life, his youngest son, Michael steps in to take care of the would-be killers, launching a campaign of bloody revenge.",1972-03-14,175,8.7,22173,en,238_3bhkrj58Vtu7enYsRolD1fZdja1.jpg
83,Captain Sabertooth and the Countess of Grel,1342341,"Set sail for an exciting pirate adventure when Captain Sabertooth and Raven fight against Sibylla and her terrifying dragon in a battle that can only be won by courage, friendship and rat soup!",2025-02-07,77,7.0,6,no,
84,F1,911430,Racing legend Sonny Hayes is coaxed out of retirement to lead a struggling Formula 1 team—and mentor a young hotshot driver—while chasing one more chance at glory.,2025-06-25,156,7.8,2828,en,911430_9PXZIUsSDh4alB80jheWX4fhZmy.jpg
85,My Fault,1010581,"Noah must leave her city, boyfriend, and friends to move into William Leister's mansion, the flashy and wealthy husband of her mother Rafaela. As a proud and independent 17 year old, Noah resists living in a mansion surrounded by luxury. However, it is there where she meets Nick, her new stepbrother, and the clash of their strong personalities becomes evident from the very beginning.",2023-06-08,117,7.765,3944,es,1010581_w46Vw536HwNnEzOa7J24YH9DPRS.jpg
